clean,hashtags,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
ranaayyub rajnathsingh hidden revenge anger rememberthe time rebutted,[],1,0,1,0,0,0,0,0,0,0,0
make sure smiling bro,[],0,0,0,0,1,1,1,0,0,0,0
teamchristine tana done provoke tweeting shady shit trying hard bitch begging fight,['teamchristine'],1,0,1,0,0,0,0,0,0,0,0
great start beginners jump auto trading profitable give full support manuals amp team viewer support,"['great', 'beginners', 'trading']",0,0,0,0,1,0,1,0,0,0,0
best friends driving first time car terrifying,['terrifying'],0,0,0,1,0,0,0,0,0,0,0
hey supervaluirl fields skibbereen give online delivery service horrible name hours late hour delivery window,"['Fields', 'skibbereen']",1,0,1,0,0,0,0,0,0,0,0
emmerdale rob robron first child together vile womancheating smh bitter,"['Emmerdale', 'robron', 'bitter']",1,0,1,0,0,0,0,0,0,0,0
thomasewoods would like hear podcast going refuting entire article extra indignation please,[],1,0,1,0,0,0,0,0,0,0,0
hear one time intimidate men going explode guys days pussified,[],1,0,1,0,0,0,0,0,0,0,0
depression sucks pensiveface,[],0,0,1,0,0,0,0,1,1,0,0
melancholy catacombs quickly wandered rue morgue madman,[],0,0,1,0,0,0,0,1,1,0,0
louiselinton haters gon hate keep fabulous self keep miserable,"['LouiseLinton', 'fabulous', 'miserable']",0,0,0,0,0,0,1,0,1,0,0
perfectly recall amazing surreal totalsolareclipse fortunate experience europe manyyearsago live happy youguys usa faceblowingakiss,"['Recall', 'amazing', 'surreal', 'totalsolareclipse', 'fortunate', 'experience', 'Europe', 'ManyYearsAgo', 'Live', 'Happy', 'YouGuys', 'USA']",0,0,0,0,1,0,1,0,0,0,0
happy home ibiza place thing else mad gaff need find bird wan start romantic things facewithtearsofjoy facewithtearsofjoy,[],0,0,0,0,1,1,1,0,0,0,0
ripbiwott think robert oukos soul rejoice rest peace call evil man evil good man good man evil man,['RIPBiwott'],1,0,1,0,0,0,0,0,0,0,0
itejasmehta qtalker pleasure smilingfacewithsmilingeyes,[],0,0,0,0,1,1,1,0,0,0,0
stuael ano man stunned one point heads gone scoring relieved,['relieved'],0,0,0,0,1,0,1,0,0,1,0
couple decide ignore everything finish dealing laughter everything background,[],0,0,0,0,1,0,0,0,1,0,0
garfieldlineker timcroberts back apologies retweeting tweet grammatical error mybad facescreaminginfear,['mybad'],0,0,1,0,0,0,0,0,1,0,0
datphan much fun interviewed supremely talented funny datphan comedy laughter soup,"['DatPhan', 'Comedy', 'laughter', 'soup']",0,0,0,0,1,0,0,0,0,0,0
pepesgrandma freebeacon thanks early morning laughter redheart,[],0,0,0,0,1,1,1,0,0,0,0
time impeachtrump crazy mentally sick spews hatred america trouble access nuclearcodes thumbsdown thumbsdown,"['impeachtrump', 'crazy', 'mentally', 'sick', 'hatred', 'America', 'access', 'nuclearcodes']",1,0,1,0,0,0,0,0,0,0,0
moment look back realise selfish horrible judgemental person feelingashamed,"['selfish', 'horrible', 'judgemental', 'FeelingAshamed']",1,0,1,0,0,0,0,1,1,0,0
