clean,hashtags,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,freq_anger,bi_anger,freq_anticipation,bi_anticipation,freq_disgust,bi_disgust,freq_fear,bi_fear,freq_joy,bi_joy,freq_love,bi_love,freq_optimism,bi_optimism,freq_pessimism,bi_pessimism,freq_sadness,bi_sadness,freq_surprise,bi_surprise,freq_trust,bi_trust
worry payment problem may never joyce meyer motivation leadership worry,"['motivation', 'leadership', 'worry']",0,1,0,0,0,0,1,0,0,0,1,0.012113055181695828,0.0,0.016850146034598966,0.0011717834544176236,0.012077005859141458,0.0,0.019541920571548646,0.0,0.015187352172289307,0.0004017072558373086,0.007944389275074478,0.0,0.03189300411522634,0.0011657872131549884,0.013813813813813814,0.0,0.014694743220724133,0.0,0.0044932601098352475,0.0,0.0269857433808554,0.0031377470975839346
whatever decide make sure makes happy,['happy'],0,0,0,0,1,1,1,0,0,0,0,0.0159060320567723,4.845430758794457e-05,0.012356773758705909,0.00023435669088352472,0.015305512375941648,4.7112032413078303e-05,0.014078587938642572,9.793360101850946e-05,0.040084650815386536,0.000954054732613608,0.042701092353525316,0.0013536379018612521,0.04188712522045855,0.0011657872131549882,0.010810810810810811,0.0,0.02014846235418876,6.10798924993892e-05,0.00948577134298552,0.00033046926635822867,0.020366598778004074,0.0028239723878255413
maxkellerman also helps majority nfl coaching inept bill obrien play calling wow gopats,['GOPATS'],1,0,1,0,1,0,1,0,0,0,0,0.011868346996207023,0.0012113576896986141,0.007414064255223545,0.0,0.013392323328948946,0.0011778008103269573,0.0052532044547173775,0.0001958672020370189,0.013320054774057013,0.001154908360532262,0.004303210857332009,0.0,0.010288065843621397,0.0007362866609399926,0.006006006006006006,0.0,0.008938039690955916,6.10798924993892e-05,0.008986520219670495,0.0,0.006109979633401222,0.0
accept challenges literally even feel exhilaration victory george patton dogface,[],0,0,0,0,1,0,1,0,0,0,0,0.016273094335005508,4.845430758794457e-05,0.008986744551786116,0.0003515350363252871,0.019012316154490016,4.7112032413078303e-05,0.011767177978566926,0.0,0.022034109299141038,0.0023098167210645238,0.012578616352201259,0.0005076142131979696,0.02189888300999412,0.003129218308994968,0.015315315315315315,0.00014952153110047846,0.02075443114679594,0.0,0.015476784822765852,0.0023132848645076006,0.02545824847250509,0.00815814245371823
roommate okay spell autocorrect terrible firstworldprobs,"['terrible', 'firstworldprobs']",1,0,1,0,0,0,0,0,0,0,0,0.010889514254251805,0.00024227153793972284,0.002920691979330488,0.0,0.01159870859739328,0.00023556016206539152,0.007984870771170414,0.0,0.002738702850740695,0.0001506402209389907,0.0006620324395895399,0.0,0.00205761316872428,0.0,0.005105105105105105,0.0,0.00787759430389335,0.0,0.0024962556165751375,0.0,0.002036659877800407,0.0
cute atsu probably shy photos cherry helped uwu,[],0,0,0,0,1,0,0,0,0,0,0,0.0022023736693992414,0.0,0.0024713547517411817,0.0,0.002271911993303838,0.0,0.003992435385585207,0.0,0.004979459728619445,0.000351493848857645,0.0026481297583581596,0.0,0.0038212815990593765,0.0,0.004804804804804805,0.0,0.004847750340857446,0.0,0.0004992511233150275,0.0,0.0030549898167006105,0.0
think humans sense recognizing impending doom,[],0,1,0,0,0,0,0,1,0,0,0,0.008809494677596966,0.0,0.010110087620759382,0.0005858917272088118,0.008489776396030133,0.0,0.009665896196679975,0.0004896680050925472,0.006971243620067223,0.0,0.0029791459781529296,0.0,0.007495590828924162,0.0,0.01051051051051051,0.0007476076555023923,0.010149977276170277,0.000305399462496946,0.0044932601098352475,0.0,0.006619144602851324,0.0
rooneys fucking untouchable fucking dreadful depay looked decent ish tonight,[],1,0,1,0,0,0,0,0,0,0,0,0.02606142175455769,0.0006299059986432793,0.00629072118625028,0.0,0.02176252540954203,0.0006124564213700178,0.013238075225887791,9.793360101850946e-05,0.008216108552222084,0.0,0.003972194637537239,0.0,0.005291005291005291,0.0,0.008708708708708709,0.0,0.01227086805029541,6.10798924993892e-05,0.0044932601098352475,0.0,0.00560081466395112,0.0
pretty depressing hit pan favourite highlighter,[],0,0,1,0,0,0,0,0,1,0,0,0.005750642358986908,0.0,0.0026960233655358343,0.0,0.006457013033600383,0.00023556016206539152,0.0035721790292078167,0.0,0.0044815137557575,0.0,0.003310162197947699,0.0,0.003821281599059377,0.0,0.009309309309309309,0.00014952153110047846,0.012422360248447206,0.0003664793549963352,0.00199700449326011,0.0,0.004073319755600814,0.0
bossupjaee pussy weak heard stfu bitch got threaten pregnant,[],1,0,1,0,0,0,0,0,0,0,0,0.017129572984216322,0.0003876344607035565,0.009211413165580768,0.0,0.016262106899437998,0.00037689625930462643,0.00903551166211389,0.0,0.009709946470807918,0.0,0.007944389275074478,0.0,0.008965314520870077,0.0,0.008708708708708709,0.0,0.011361914861384638,0.0,0.00599101347978033,0.0,0.004582484725050916,0.0
making yearly transition excited hopeful college returner sick exhausted pessimist college,['college'],0,0,1,0,0,0,0,1,1,0,0,0.004527101431542885,0.0,0.00471804088968771,0.0,0.006457013033600383,0.000471120324130783,0.00987602437486867,0.0,0.008714054525084027,0.0,0.004303210857332009,0.0,0.00925925925925926,0.0,0.01141141141141141,0.0014952153110047845,0.008786547492804121,0.000610798924993892,0.0,0.0,0.0010183299389002036,0.0
